feature,fscore
cat3,0.00021978021978021978
cat83,0.00021978021978021978
cat45,0.00021978021978021978
cat88,0.00021978021978021978
cat93,0.00021978021978021978
cat96,0.00021978021978021978
cat8,0.00021978021978021978
cat16,0.00021978021978021978
cat76,0.00043956043956043956
cat71,0.00043956043956043956
cat102,0.00043956043956043956
cat40,0.00043956043956043956
cat54,0.00043956043956043956
cat90,0.00043956043956043956
cat61,0.0006593406593406593
cat43,0.0006593406593406593
cat77,0.0006593406593406593
cat29,0.0006593406593406593
cat84,0.0006593406593406593
cat39,0.0008791208791208791
cat41,0.0008791208791208791
cat31,0.001098901098901099
cat25,0.001098901098901099
cat66,0.001098901098901099
cat86,0.0013186813186813187
cat98,0.0015384615384615385
cat10,0.001978021978021978
cat57,0.002197802197802198
cat80,0.0024175824175824176
cat99,0.0026373626373626374
cat75,0.0026373626373626374
cat97,0.0026373626373626374
cat23,0.002857142857142857
cat13,0.003076923076923077
cat9,0.003076923076923077
cat53,0.0032967032967032967
cat50,0.0032967032967032967
cat7,0.0032967032967032967
cat11,0.0035164835164835165
cat49,0.0037362637362637363
cat79,0.003956043956043956
cat52,0.004175824175824176
cat105,0.004395604395604396
cat104,0.004395604395604396
cat95,0.004615384615384616
cat38,0.004615384615384616
cat109,0.004615384615384616
cat36,0.004835164835164835
cat37,0.004835164835164835
cat107,0.005274725274725275
cat115,0.005494505494505495
cat110,0.005494505494505495
cat73,0.005714285714285714
cat27,0.006593406593406593
cat82,0.006813186813186814
cat26,0.007252747252747253
cat116,0.007692307692307693
cat44,0.008131868131868131
cat12,0.008131868131868131
cat92,0.008131868131868131
cat6,0.008351648351648353
cont5,0.008791208791208791
cont9,0.01098901098901099
cat91,0.01098901098901099
cat1,0.01098901098901099
cat106,0.011428571428571429
cont1,0.012087912087912088
cat2,0.012527472527472527
cont10,0.012747252747252748
cat5,0.012747252747252748
cat111,0.013406593406593406
cat113,0.013626373626373627
cat94,0.014505494505494506
cat112,0.014725274725274726
cat4,0.014945054945054945
cat114,0.015164835164835164
cat108,0.016263736263736263
cat72,0.017142857142857144
cat87,0.01868131868131868
cont8,0.01956043956043956
cat103,0.02021978021978022
cat81,0.02043956043956044
cont13,0.024395604395604394
cont4,0.026373626373626374
cont11,0.027032967032967033
cont12,0.03076923076923077
cont6,0.03956043956043956
cat101,0.043076923076923075
cont3,0.04967032967032967
cat100,0.06285714285714286
cont7,0.06461538461538462
cont14,0.06835164835164835
cont2,0.08153846153846153
